id,thread_number,retweets,likes,replies
976094234146168832,Thread 24,6,5,1
976094792500305920,Thread 24,8,2,1
976095637161893889,Thread 24,10,6,4
976097978632015872,Thread 24,9,12,2
976098655643033603,Thread 24,6,9,4
976099207231803392,Thread 24,2,1,1
976099903473627137,Thread 24,2,0,1
976100532078174208,Thread 24,4,3,1
976100901885800448,Thread 24,1,0,1
976103666607382528,Thread 24,3,1,1
976103985831653382,Thread 24,5,11,1
976104550024335360,Thread 24,2,6,2
976104834104463361,Thread 24,0,0,1
976105526026211328,Thread 24,4,7,1
976106659591458816,Thread 24,2,6,1
997228839318286336,Thread 25,27,27,3
997228843227377666,Thread 25,8,6,1
997228846125670402,Thread 25,7,6,1
997228850256973824,Thread 25,10,7,1
997228854002544641,Thread 25,8,10,1
997228858951766017,Thread 25,9,10,1
997228863519449088,Thread 25,7,6,1
997228867336028160,Thread 25,10,8,1
997228871350136833,Thread 25,9,8,1
997228874521022466,Thread 25,19,14,4
997228877343752199,Thread 25,16,13,1
997228880606978049,Thread 25,9,7,1
997228883765350400,Thread 25,7,7,1
997228888483880960,Thread 25,8,7,1
997228894448160769,Thread 25,12,11,1
997228891684077570,Thread 25,6,5,1
997228897447145473,Thread 25,6,7,1
965123255857184769,Thread 26,115,106,9
965124339258490880,Thread 26,24,31,3
965125472605671425,Thread 26,45,52,3
965127016323350528,Thread 26,8,25,1
965129458008117248,Thread 26,11,26,2
965131852968333312,Thread 26,17,34,1
965134667124011008,Thread 26,13,22,1
965136456388956160,Thread 26,9,22,2
965137535943966720,Thread 26,9,14,1
965138354420572160,Thread 26,12,34,1
965139680193859585,Thread 26,17,35,4
965142919333203968,Thread 26,11,16,2
965143944916062208,Thread 26,6,19,2
965146480196583424,Thread 26,14,29,3
965148414701981696,Thread 26,32,41,7
965231038615220224,Thread 26,4,10,1
965231796953677824,Thread 26,13,16,1
965235229475721216,Thread 26,26,36,1
965236209835495424,Thread 26,12,45,1
955213302094757889,Thread 27,9,12,3
955213305882337280,Thread 27,2,3,1
955213303533461504,Thread 27,2,5,1
955213307639664641,Thread 27,1,4,2
955213310630260736,Thread 27,3,4,1
955213309120303105,Thread 27,1,2,1
955213313062899712,Thread 27,3,5,1
955213311905357825,Thread 27,5,5,1
955213315608842240,Thread 27,10,15,1
955213318515458048,Thread 27,4,4,1
955213321506099202,Thread 27,2,2,1
955213322567274501,Thread 27,3,1,1
955213319639654400,Thread 27,2,4,2
955213326459555840,Thread 27,1,2,1
955213325121544192,Thread 27,2,4,1
955213327646511104,Thread 27,8,14,2
955213324068835330,Thread 27,1,1,3
964648234261114880,Thread 28,313,304,35
964658152921882624,Thread 28,40,59,2
964682077210923010,Thread 28,67,84,9
964729259716763648,Thread 28,47,60,3
964873306162769923,Thread 28,13,22,4
964909140127690754,Thread 28,9,20,3
965252395960848385,Thread 28,30,41,2
965257733686677504,Thread 28,22,29,1
965258084213035008,Thread 28,10,16,1
965269733804298240,Thread 28,72,85,8
965271152024317955,Thread 28,11,21,2
965373877823115264,Thread 28,19,30,2
965669737714855936,Thread 28,14,25,1
965670935251640321,Thread 28,35,40,2
966068713383395328,Thread 28,81,75,8
966072953258553345,Thread 28,2,8,3
955997172264251392,Thread 29,25,26,4
955998319997804545,Thread 29,7,8,1
955999059654987776,Thread 29,10,9,1
956000409751117825,Thread 29,6,10,2
956000668552253440,Thread 29,10,9,2
956000940083032064,Thread 29,12,14,1
956001188155215872,Thread 29,7,6,1
956001368648683522,Thread 29,10,8,1
956001889753141249,Thread 29,9,7,1
956002091696345089,Thread 29,6,8,1
956002507695763456,Thread 29,10,20,2
956009408886173696,Thread 29,10,11,2
956009557045768192,Thread 29,5,10,1
956010292877709312,Thread 29,9,12,2
956143796571471872,Thread 29,7,11,1
956154972730679296,Thread 29,18,14,0
965239671088435200,Thread 30,115,259,24
